n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,run_median_s,participant_group
8,20000.0,1.0,,Robot5,1,prover,evidence_call,0.0180993265,Robot
8,20000.0,1.0,,Robot5,1,prover,total_lifecycle,5.299253336,Robot
8,20000.0,1.0,,Robot5,1,verifier,reaction_time,0.007996617000000001,Robot
8,20000.0,1.0,,Robot5,1,verifier,result_call,0.019897931,Robot
8,20000.0,1.0,,Robot5,1,verifier,signatures_fetch,0.0039414495,Robot
8,20000.0,1.0,,Robot5,1,verifier,total_lifecycle,0.026988479,Robot
8,20000.0,1.0,,Robot5,1,verifier,verify_compute,2.1385e-06,Robot
8,20000.0,1.0,,Robot5,2,prover,e2e_blockchain,4.866737301500001,Robot
8,20000.0,1.0,,Robot5,2,prover,evidence_call,0.01348576,Robot
8,20000.0,1.0,,Robot5,2,prover,total_lifecycle,4.8828894819999995,Robot
8,20000.0,1.0,,Robot5,2,verifier,reaction_time,0.0055960495,Robot
8,20000.0,1.0,,Robot5,2,verifier,result_call,0.01415377,Robot
8,20000.0,1.0,,Robot5,2,verifier,signatures_fetch,0.0034454465,Robot
8,20000.0,1.0,,Robot5,2,verifier,total_lifecycle,0.0186077455,Robot
8,20000.0,1.0,,Robot5,2,verifier,verify_compute,2.011e-06,Robot
8,20000.0,1.0,,Robot5,3,prover,e2e_blockchain,5.177112305,Robot
8,20000.0,1.0,,Robot5,3,prover,evidence_call,0.013340597999999999,Robot
8,20000.0,1.0,,Robot5,3,prover,total_lifecycle,5.1951784905,Robot
8,20000.0,1.0,,Robot5,3,verifier,reaction_time,0.0057525035000000006,Robot
8,20000.0,1.0,,Robot5,3,verifier,result_call,0.0130068335,Robot
8,20000.0,1.0,,Robot5,3,verifier,signatures_fetch,0.0033077835,Robot
8,20000.0,1.0,,Robot5,3,verifier,total_lifecycle,0.016280422,Robot
8,20000.0,1.0,,Robot5,3,verifier,verify_compute,1.8375e-06,Robot
8,20000.0,1.0,,Robot6,1,prover,e2e_blockchain,5.281904829,Robot
8,20000.0,1.0,,Robot6,1,prover,evidence_call,0.0144266815,Robot
8,20000.0,1.0,,Robot6,1,prover,total_lifecycle,5.29949298,Robot
8,20000.0,1.0,,Robot6,1,verifier,reaction_time,0.0039288405,Robot
8,20000.0,1.0,,Robot6,1,verifier,result_call,0.015733394499999998,Robot
8,20000.0,1.0,,Robot6,1,verifier,signatures_fetch,0.001958708,Robot
8,20000.0,1.0,,Robot6,1,verifier,total_lifecycle,0.017700129499999998,Robot
8,20000.0,1.0,,Robot6,1,verifier,verify_compute,2.667e-06,Robot
8,20000.0,1.0,,Robot6,2,prover,e2e_blockchain,4.8650648,Robot
