participant,role,step,duration_s,run,attestation_id
Robot4,Verifier,blockchain_read,0.177,4,attestation7677077995216
Robot4,Verifier,blockchain_read,0.105,4,attestation7677078188843
Robot4,Verifier,blockchain_read,0.189,4,attestation7677078559858
Robot4,Verifier,blockchain_read,0.09,4,attestation7677078739863
Robot4,Verifier,blockchain_read,0.026000000000000002,4,attestation7677078924879
Robot4,Verifier,blockchain_read,0.166,4,attestation7677079119450
Robot4,Verifier,blockchain_read,0.076,4,attestation7677079102554
Robot4,Verifier,blockchain_read,0.098,4,attestation7677079289192
Robot4,Verifier,blockchain_read,0.115,5,attestation7677080199292
Robot4,Verifier,blockchain_read,0.27,5,attestation7677080373717
Robot4,Verifier,blockchain_read,0.137,5,attestation7677080749190
Robot4,Verifier,blockchain_read,0.069,5,attestation7677080735929
Robot4,Verifier,blockchain_read,0.079,5,attestation7677080922825
Robot4,Verifier,blockchain_read,0.096,5,attestation7677081119465
Robot4,Verifier,blockchain_read,0.045,5,attestation7677081295393
Robot4,Verifier,blockchain_read,0.08,5,attestation7677081297833
Robot4,Verifier,blockchain_read,0.105,5,attestation7677081488161
Robot4,Verifier,total_verifier,0.176,1,attestation7677071401571
Robot4,Verifier,total_verifier,0.367,1,attestation7677071402514
Robot4,Verifier,total_verifier,0.20700000000000002,1,attestation7677071587000
Robot4,Verifier,total_verifier,0.297,1,attestation7677071775522
Robot4,Verifier,total_verifier,0.128,1,attestation7677071957767
Robot4,Verifier,total_verifier,0.111,1,attestation7677071961900
Robot4,Verifier,total_verifier,0.365,1,attestation7677072142175
Robot4,Verifier,total_verifier,0.202,1,attestation7677072334467
Robot4,Verifier,total_verifier,0.292,1,attestation7677072516615
Robot4,Verifier,total_verifier,0.11,1,attestation7677072529352
Robot4,Verifier,total_verifier,0.216,1,attestation7677072712761
Robot4,Verifier,total_verifier,0.157,2,attestation7677073594344
Robot4,Verifier,total_verifier,0.181,2,attestation7677073787832
Robot4,Verifier,total_verifier,0.267,2,attestation7677074154435
Robot4,Verifier,total_verifier,0.184,2,attestation7677074154573
