n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,run_median_s,run_mean_s,participant_group
4,20000.0,1.0,,SECaaS,2,verifier,signatures_fetch,0.0094011445,0.00934631,SECaaS
4,20000.0,1.0,,SECaaS,2,verifier,total_lifecycle,0.08062825900000001,0.07987671416666667,SECaaS
4,20000.0,1.0,,SECaaS,2,verifier,verify_compute,7.297e-06,7.302e-06,SECaaS
4,20000.0,1.0,,SECaaS,3,oracle,db_lookup,0.000820831,0.0008550551666666667,SECaaS
4,20000.0,1.0,,SECaaS,3,oracle,prover_addr_fetch,0.0096018705,0.010221509583333333,SECaaS
4,20000.0,1.0,,SECaaS,3,oracle,reaction_time,0.10180848549999999,0.10183578695833334,SECaaS
4,20000.0,1.0,,SECaaS,3,oracle,ref_signature_call,0.0281911905,0.028978929499999997,SECaaS
4,20000.0,1.0,,SECaaS,3,oracle,total_lifecycle,0.054058720500000004,0.05561667222222222,SECaaS
4,20000.0,1.0,,SECaaS,3,verifier,reaction_time,0.0008264825,0.06033815133333334,SECaaS
4,20000.0,1.0,,SECaaS,3,verifier,result_call,0.033781820500000004,0.03429622733333334,SECaaS
4,20000.0,1.0,,SECaaS,3,verifier,signatures_fetch,0.008337212,0.008419671166666668,SECaaS
4,20000.0,1.0,,SECaaS,3,verifier,total_lifecycle,0.071729665,0.07235174616666666,SECaaS
4,20000.0,1.0,,SECaaS,3,verifier,verify_compute,6.392e-06,6.538333333333334e-06,SECaaS
4,20000.0,1.0,,SECaaS,4,oracle,db_lookup,0.000860256,0.000864254875,SECaaS
4,20000.0,1.0,,SECaaS,4,oracle,prover_addr_fetch,0.0089818015,0.009543081875,SECaaS
4,20000.0,1.0,,SECaaS,4,oracle,reaction_time,0.1042922055,0.10456447095833334,SECaaS
4,20000.0,1.0,,SECaaS,4,oracle,ref_signature_call,0.027658935000000003,0.02955567305555555,SECaaS
4,20000.0,1.0,,SECaaS,4,oracle,total_lifecycle,0.0538646995,0.055835208666666664,SECaaS
4,20000.0,1.0,,SECaaS,4,verifier,reaction_time,0.063695961,0.074958849,SECaaS
4,20000.0,1.0,,SECaaS,4,verifier,result_call,0.033381608,0.036087499333333335,SECaaS
4,20000.0,1.0,,SECaaS,4,verifier,signatures_fetch,0.0079513615,0.008271937833333333,SECaaS
4,20000.0,1.0,,SECaaS,4,verifier,total_lifecycle,0.066779801,0.07166162333333334,SECaaS
4,20000.0,1.0,,SECaaS,4,verifier,verify_compute,7.012e-06,8.061166666666667e-06,SECaaS
4,20000.0,1.0,,SECaaS,5,oracle,db_lookup,0.0008385495,0.0008790314583333334,SECaaS
4,20000.0,1.0,,SECaaS,5,oracle,prover_addr_fetch,0.008929468,0.008893070500000001,SECaaS
4,20000.0,1.0,,SECaaS,5,oracle,reaction_time,0.0994105965,0.098024424625,SECaaS
4,20000.0,1.0,,SECaaS,5,oracle,ref_signature_call,0.026376603999999998,0.02673724766666667,SECaaS
4,20000.0,1.0,,SECaaS,5,oracle,total_lifecycle,0.0506294855,0.0516244685,SECaaS
4,20000.0,1.0,,SECaaS,5,verifier,reaction_time,0.029549762,0.04871528116666667,SECaaS
4,20000.0,1.0,,SECaaS,5,verifier,result_call,0.032196828499999997,0.0322522185,SECaaS
4,20000.0,1.0,,SECaaS,5,verifier,signatures_fetch,0.0077067195000000005,0.007922590166666667,SECaaS
4,20000.0,1.0,,SECaaS,5,verifier,total_lifecycle,0.065303436,0.06554921433333334,SECaaS
4,20000.0,1.0,,SECaaS,5,verifier,verify_compute,6.8545e-06,6.883333333333333e-06,SECaaS
8,20000.0,1.0,,Robot1,1,prover,e2e_blockchain,3.8829141265000002,3.8826632213333334,Robot
8,20000.0,1.0,,Robot1,1,prover,evidence_call,0.0070901539999999996,0.007389428333333333,Robot
8,20000.0,1.0,,Robot1,1,prover,total_lifecycle,3.90139241,3.899757581833333,Robot
8,20000.0,1.0,,Robot1,1,verifier,reaction_time,0.038923767,0.03685529519047619,Robot
8,20000.0,1.0,,Robot1,1,verifier,result_call,0.009819032,0.010623605428571428,Robot
8,20000.0,1.0,,Robot1,1,verifier,signatures_fetch,0.002842349,0.003195560380952381,Robot
8,20000.0,1.0,,Robot1,1,verifier,total_lifecycle,0.013626777999999999,0.013844529285714285,Robot
8,20000.0,1.0,,Robot1,1,verifier,verify_compute,1.671e-06,1.6500476190476188e-06,Robot
8,20000.0,1.0,,Robot1,2,prover,e2e_blockchain,4.1899953304999995,4.1905249798333335,Robot
8,20000.0,1.0,,Robot1,2,prover,evidence_call,0.015400843,0.0154716615,Robot
8,20000.0,1.0,,Robot1,2,prover,total_lifecycle,4.2037724075,4.20665421,Robot
8,20000.0,1.0,,Robot1,2,verifier,reaction_time,0.03507454,0.033149416333333334,Robot
8,20000.0,1.0,,Robot1,2,verifier,result_call,0.008351963,0.008980582142857144,Robot
8,20000.0,1.0,,Robot1,2,verifier,signatures_fetch,0.002155388,0.0023993135714285713,Robot
8,20000.0,1.0,,Robot1,2,verifier,total_lifecycle,0.0107925,0.011407071285714285,Robot
8,20000.0,1.0,,Robot1,2,verifier,verify_compute,2.043e-06,2.0203809523809523e-06,Robot
8,20000.0,1.0,,Robot1,3,prover,e2e_blockchain,5.226172613999999,5.1531095825,Robot
8,20000.0,1.0,,Robot1,3,prover,evidence_call,0.0194623875,0.019639843333333334,Robot
8,20000.0,1.0,,Robot1,3,prover,total_lifecycle,5.2440614205,5.1702829968333335,Robot
8,20000.0,1.0,,Robot1,4,prover,e2e_blockchain,4.811326591,4.813757827500001,Robot
8,20000.0,1.0,,Robot1,4,prover,evidence_call,0.0152136745,0.017939856833333333,Robot
8,20000.0,1.0,,Robot1,4,prover,total_lifecycle,4.8284747245,4.830568037,Robot
8,20000.0,1.0,,Robot1,5,prover,e2e_blockchain,4.138377140999999,4.135038672333334,Robot
8,20000.0,1.0,,Robot1,5,prover,evidence_call,0.0100608535,0.010224836499999999,Robot
8,20000.0,1.0,,Robot1,5,prover,total_lifecycle,4.158889851,4.153433665666666,Robot
8,20000.0,1.0,,Robot1,5,verifier,reaction_time,0.024099288,0.028083012857142858,Robot
8,20000.0,1.0,,Robot1,5,verifier,result_call,0.006817455,0.007945857952380952,Robot
8,20000.0,1.0,,Robot1,5,verifier,signatures_fetch,0.001918291,0.002164401238095238,Robot
8,20000.0,1.0,,Robot1,5,verifier,total_lifecycle,0.008880509,0.010134498,Robot
8,20000.0,1.0,,Robot1,5,verifier,verify_compute,1.767e-06,1.6268095238095237e-06,Robot
