n_robots,mode,participant,run,role,metric,run_mean_s,participant_group
10,continuous,Robot4,2,prover,total_lifecycle,5.353989710272727,Robot
10,continuous,Robot4,2,verifier,reaction_time,0.018061204642857143,Robot
10,continuous,Robot4,2,verifier,result_call,0.021004889642857145,Robot
10,continuous,Robot4,2,verifier,signatures_fetch,0.0037358795000000003,Robot
10,continuous,Robot4,2,verifier,total_lifecycle,0.024806353142857143,Robot
10,continuous,Robot4,2,verifier,verify_compute,7.205e-07,Robot
10,continuous,Robot4,3,prover,e2e_blockchain,5.303424171272727,Robot
10,continuous,Robot4,3,prover,evidence_call,0.013391410363636364,Robot
10,continuous,Robot4,3,prover,total_lifecycle,5.5073243057272725,Robot
10,continuous,Robot4,3,verifier,reaction_time,0.010023206384615384,Robot
10,continuous,Robot4,3,verifier,result_call,0.01401681569230769,Robot
10,continuous,Robot4,3,verifier,signatures_fetch,0.0022827881538461537,Robot
10,continuous,Robot4,3,verifier,total_lifecycle,0.01639532546153846,Robot
10,continuous,Robot4,3,verifier,verify_compute,6.417692307692308e-07,Robot
10,continuous,Robot4,4,prover,e2e_blockchain,5.1892367169090905,Robot
10,continuous,Robot4,4,prover,evidence_call,0.019538065,Robot
10,continuous,Robot4,4,prover,total_lifecycle,5.395754183909091,Robot
10,continuous,Robot4,4,verifier,reaction_time,0.007949484833333334,Robot
10,continuous,Robot4,4,verifier,result_call,0.011628317833333332,Robot
10,continuous,Robot4,4,verifier,signatures_fetch,0.0018117049166666668,Robot
10,continuous,Robot4,4,verifier,total_lifecycle,0.013503576083333335,Robot
10,continuous,Robot4,4,verifier,verify_compute,6.515833333333332e-07,Robot
10,continuous,Robot4,5,prover,e2e_blockchain,5.256171419454545,Robot
10,continuous,Robot4,5,prover,evidence_call,0.015936430545454544,Robot
10,continuous,Robot4,5,prover,total_lifecycle,5.501878022363637,Robot
10,continuous,Robot4,5,verifier,reaction_time,0.00420713425,Robot
10,continuous,Robot4,5,verifier,result_call,0.012750450000000002,Robot
10,continuous,Robot4,5,verifier,signatures_fetch,0.002034770416666667,Robot
10,continuous,Robot4,5,verifier,total_lifecycle,0.014890628166666668,Robot
10,continuous,Robot4,5,verifier,verify_compute,7.051666666666666e-07,Robot
10,continuous,Robot5,1,prover,e2e_blockchain,5.1127150952000004,Robot
10,continuous,Robot5,1,prover,evidence_call,0.0132711023,Robot
