n_robots,participant,run,role,metric,duration_s
16,Robot6,9,prover,total_lifecycle,3.1881941240000002
16,Robot7,1,prover,e2e_blockchain,5.117893191
16,Robot7,1,prover,evidence_call,0.020407876999999998
16,Robot7,1,prover,total_lifecycle,5.133181083
16,Robot7,10,prover,e2e_blockchain,2.862014189
16,Robot7,10,prover,evidence_call,0.007963084
16,Robot7,10,prover,total_lifecycle,2.874856624
16,Robot7,2,prover,e2e_blockchain,2.696912073
16,Robot7,2,prover,evidence_call,0.011336975000000001
16,Robot7,2,prover,total_lifecycle,2.7120039350000003
16,Robot7,3,prover,e2e_blockchain,3.3829248389999997
16,Robot7,3,prover,evidence_call,0.012086344
16,Robot7,3,prover,total_lifecycle,3.398660087
16,Robot7,4,prover,e2e_blockchain,2.921158227
16,Robot7,4,prover,evidence_call,0.012846622
16,Robot7,4,prover,total_lifecycle,2.933897441
16,Robot7,5,prover,e2e_blockchain,3.585420397
16,Robot7,5,prover,evidence_call,0.011025232000000001
16,Robot7,5,prover,total_lifecycle,3.600694447
16,Robot7,6,prover,e2e_blockchain,3.235785926
16,Robot7,6,prover,evidence_call,0.033282401
16,Robot7,6,prover,total_lifecycle,3.247561976
16,Robot7,7,prover,e2e_blockchain,2.840828331
16,Robot7,7,prover,evidence_call,0.021954263999999998
16,Robot7,7,prover,total_lifecycle,2.8512076769999997
16,Robot7,8,prover,e2e_blockchain,3.489378248
16,Robot7,8,prover,evidence_call,0.016799309999999998
16,Robot7,8,prover,total_lifecycle,3.50512084
16,Robot7,9,prover,e2e_blockchain,3.179402425
16,Robot7,9,prover,evidence_call,0.014355762000000001
16,Robot7,9,prover,total_lifecycle,3.191236536
16,Robot8,1,prover,e2e_blockchain,3.168779101
16,Robot8,1,prover,evidence_call,0.17279999599999998
16,Robot8,1,prover,total_lifecycle,3.185376416
16,Robot8,10,prover,e2e_blockchain,2.830680627
16,Robot8,10,prover,evidence_call,0.020170899
16,Robot8,10,prover,total_lifecycle,2.8436675989999998
16,Robot8,2,prover,e2e_blockchain,2.715445484
16,Robot8,2,prover,evidence_call,0.014882698
16,Robot8,2,prover,total_lifecycle,2.73094791
16,Robot8,3,prover,e2e_blockchain,3.366648933
16,Robot8,3,prover,evidence_call,0.031076422
16,Robot8,3,prover,total_lifecycle,3.379234507
16,Robot8,4,prover,e2e_blockchain,2.932286829
16,Robot8,4,prover,evidence_call,0.016127243
16,Robot8,4,prover,total_lifecycle,2.9486901370000003
16,Robot8,5,prover,e2e_blockchain,3.5899192280000003
16,Robot8,5,prover,evidence_call,0.028561325
16,Robot8,5,prover,total_lifecycle,3.60352855
16,Robot8,6,prover,e2e_blockchain,3.224953838
16,Robot8,6,prover,evidence_call,0.033039458
16,Robot8,6,prover,total_lifecycle,3.238089266
16,Robot8,7,prover,e2e_blockchain,2.883718946
16,Robot8,7,prover,evidence_call,0.018264149
16,Robot8,7,prover,total_lifecycle,2.901096629
16,Robot8,8,prover,e2e_blockchain,3.497106647
16,Robot8,8,prover,evidence_call,0.010343359
16,Robot8,8,prover,total_lifecycle,3.514715729
16,Robot8,9,prover,e2e_blockchain,3.168980675
16,Robot8,9,prover,evidence_call,0.014004037
16,Robot8,9,prover,total_lifecycle,3.182086272
16,Robot9,1,prover,e2e_blockchain,3.165982715
16,Robot9,1,prover,evidence_call,0.07784007300000001
16,Robot9,1,prover,total_lifecycle,3.180864932
16,Robot9,10,prover,e2e_blockchain,2.838852584
16,Robot9,10,prover,evidence_call,0.013072456000000001
16,Robot9,10,prover,total_lifecycle,2.852808955
16,Robot9,2,prover,e2e_blockchain,2.731422271
16,Robot9,2,prover,evidence_call,0.014090954
16,Robot9,2,prover,total_lifecycle,2.745884422
16,Robot9,3,prover,e2e_blockchain,3.383206518
16,Robot9,3,prover,evidence_call,0.016499320999999997
16,Robot9,3,prover,total_lifecycle,3.392569516
16,Robot9,4,prover,e2e_blockchain,2.9181021890000003
16,Robot9,4,prover,evidence_call,0.01200849
16,Robot9,4,prover,total_lifecycle,2.93068196
16,Robot9,5,prover,e2e_blockchain,3.594255623
16,Robot9,5,prover,evidence_call,0.013362078000000001
16,Robot9,5,prover,total_lifecycle,3.6068005939999996
16,Robot9,6,prover,e2e_blockchain,3.2008379650000003
16,Robot9,6,prover,evidence_call,0.012782784
16,Robot9,6,prover,total_lifecycle,3.2113655440000004
16,Robot9,7,prover,e2e_blockchain,2.8942132419999997
16,Robot9,7,prover,evidence_call,0.013226398
16,Robot9,7,prover,total_lifecycle,2.903926989
16,Robot9,8,prover,e2e_blockchain,3.486834645
16,Robot9,8,prover,evidence_call,0.018359377
16,Robot9,8,prover,total_lifecycle,3.496828035
16,Robot9,9,prover,e2e_blockchain,3.175957208
16,Robot9,9,prover,evidence_call,0.013369316
16,Robot9,9,prover,total_lifecycle,3.189483908
16,SECaaS,1,verifier,reaction_time,0.0023656579999999996
16,SECaaS,1,verifier,reaction_time,0.221529635
16,SECaaS,1,verifier,reaction_time,0.412352519
16,SECaaS,1,verifier,reaction_time,0.584577572
16,SECaaS,1,verifier,reaction_time,0.7342557279999999
16,SECaaS,1,verifier,reaction_time,0.87740662
16,SECaaS,1,verifier,reaction_time,1.007077585
16,SECaaS,1,verifier,reaction_time,1.1291341689999999
16,SECaaS,1,verifier,reaction_time,1.2762746999999999
16,SECaaS,1,verifier,reaction_time,1.426156332
16,SECaaS,1,verifier,reaction_time,1.6139793850000002
16,SECaaS,1,verifier,reaction_time,1.8035258550000002
16,SECaaS,1,verifier,reaction_time,1.931918986
16,SECaaS,1,verifier,reaction_time,2.0739465249999998
16,SECaaS,1,verifier,reaction_time,2.1950638039999997
16,SECaaS,1,verifier,reaction_time,2.334572271
16,SECaaS,1,verifier,signatures_fetch,0.029699279000000002
16,SECaaS,1,verifier,signatures_fetch,0.016999980999999997
16,SECaaS,1,verifier,signatures_fetch,0.021526694
16,SECaaS,1,verifier,signatures_fetch,0.015808932
16,SECaaS,1,verifier,signatures_fetch,0.01284085
16,SECaaS,1,verifier,signatures_fetch,0.013619161
16,SECaaS,1,verifier,signatures_fetch,0.011121715
16,SECaaS,1,verifier,signatures_fetch,0.018181309
16,SECaaS,1,verifier,signatures_fetch,0.01476468
16,SECaaS,1,verifier,signatures_fetch,0.01704378
16,SECaaS,1,verifier,signatures_fetch,0.020691287
16,SECaaS,1,verifier,signatures_fetch,0.021255178
16,SECaaS,1,verifier,signatures_fetch,0.015466666
16,SECaaS,1,verifier,signatures_fetch,0.013992028
16,SECaaS,1,verifier,signatures_fetch,0.011111431
