n_robots,participant,run,role,metric,run_median_s,run_mean_s,participant_group
4,SECaaS,1,verifier,signatures_fetch,0.014343221,0.016145351250000002,SECaaS
4,SECaaS,1,verifier,total_lifecycle,0.091999579,0.090364795,SECaaS
4,SECaaS,1,verifier,verify_compute,1.11865e-05,1.0918e-05,SECaaS
4,SECaaS,2,oracle,db_lookup,0.0008993735,0.00087970825,SECaaS
4,SECaaS,2,oracle,prover_addr_fetch,0.017148965000000002,0.016087966750000002,SECaaS
4,SECaaS,2,oracle,reaction_time,0.14548544200000002,0.14501011225,SECaaS
4,SECaaS,2,verifier,reaction_time,0.14548544200000002,0.14501011225,SECaaS
4,SECaaS,2,verifier,result_call,0.039716800999999996,0.04223934,SECaaS
4,SECaaS,2,verifier,signatures_fetch,0.0118493515,0.0121702735,SECaaS
4,SECaaS,2,verifier,total_lifecycle,0.08465869000000001,0.084173261,SECaaS
4,SECaaS,2,verifier,verify_compute,1.1233e-05,1.1383e-05,SECaaS
4,SECaaS,3,oracle,db_lookup,0.0009626745000000001,0.00092400575,SECaaS
4,SECaaS,3,oracle,prover_addr_fetch,0.012671964,0.013435362999999999,SECaaS
4,SECaaS,3,oracle,reaction_time,0.131437708,0.129906448,SECaaS
4,SECaaS,3,verifier,reaction_time,0.131437708,0.129906448,SECaaS
4,SECaaS,3,verifier,result_call,0.040672252,0.0406214205,SECaaS
4,SECaaS,3,verifier,signatures_fetch,0.011974722,0.01218727625,SECaaS
4,SECaaS,3,verifier,total_lifecycle,0.080619933,0.07957222875,SECaaS
4,SECaaS,3,verifier,verify_compute,8.074e-06,9.037249999999999e-06,SECaaS
4,SECaaS,4,oracle,db_lookup,0.000831776,0.00142717975,SECaaS
4,SECaaS,4,oracle,prover_addr_fetch,0.013423535,0.01402280875,SECaaS
4,SECaaS,4,oracle,reaction_time,0.127741841,0.12756884024999998,SECaaS
4,SECaaS,4,verifier,reaction_time,0.127741841,0.12756884024999998,SECaaS
4,SECaaS,4,verifier,result_call,0.0352964185,0.03720645275,SECaaS
4,SECaaS,4,verifier,signatures_fetch,0.0114326755,0.0117275065,SECaaS
4,SECaaS,4,verifier,total_lifecycle,0.076796376,0.0766024965,SECaaS
4,SECaaS,4,verifier,verify_compute,7.5705e-06,7.731e-06,SECaaS
4,SECaaS,5,oracle,db_lookup,0.000822121,0.000829763,SECaaS
4,SECaaS,5,oracle,prover_addr_fetch,0.011051901499999999,0.01157391025,SECaaS
4,SECaaS,5,oracle,reaction_time,0.1315370995,0.12481579749999999,SECaaS
4,SECaaS,5,verifier,reaction_time,0.1315370995,0.12481579749999999,SECaaS
4,SECaaS,5,verifier,result_call,0.032528433999999995,0.03684108725,SECaaS
4,SECaaS,5,verifier,signatures_fetch,0.009698343500000001,0.0098839255,SECaaS
4,SECaaS,5,verifier,total_lifecycle,0.062872153,0.069159381,SECaaS
4,SECaaS,5,verifier,verify_compute,7.612e-06,7.5592500000000005e-06,SECaaS
4,SECaaS,6,oracle,db_lookup,0.0008833935000000001,0.0008967525000000001,SECaaS
4,SECaaS,6,oracle,prover_addr_fetch,0.012790798499999999,0.0135452045,SECaaS
4,SECaaS,6,oracle,reaction_time,0.12248656700000002,0.11998316875000001,SECaaS
4,SECaaS,6,verifier,reaction_time,0.12248656700000002,0.11998316875000001,SECaaS
4,SECaaS,6,verifier,result_call,0.0330805715,0.03410011275,SECaaS
4,SECaaS,6,verifier,signatures_fetch,0.009670884000000001,0.0101362275,SECaaS
4,SECaaS,6,verifier,total_lifecycle,0.06758505849999999,0.0697807385,SECaaS
4,SECaaS,6,verifier,verify_compute,7.656e-06,7.72175e-06,SECaaS
4,SECaaS,7,oracle,db_lookup,0.0008584965,0.0008594645,SECaaS
4,SECaaS,7,oracle,prover_addr_fetch,0.0102026775,0.01113724525,SECaaS
4,SECaaS,7,oracle,reaction_time,0.1094502795,0.10796887775,SECaaS
4,SECaaS,7,verifier,reaction_time,0.1094502795,0.10796887775,SECaaS
4,SECaaS,7,verifier,result_call,0.031367066,0.03141616825,SECaaS
4,SECaaS,7,verifier,signatures_fetch,0.009105233,0.00920974,SECaaS
4,SECaaS,7,verifier,total_lifecycle,0.062087936999999996,0.06231469875,SECaaS
4,SECaaS,7,verifier,verify_compute,6.6545e-06,6.664e-06,SECaaS
4,SECaaS,8,oracle,db_lookup,0.0008768675,0.00089564475,SECaaS
4,SECaaS,8,oracle,prover_addr_fetch,0.012430741500000002,0.0121271945,SECaaS
4,SECaaS,8,oracle,reaction_time,0.10665763449999999,0.1070197715,SECaaS
4,SECaaS,8,verifier,reaction_time,0.10665763449999999,0.1070197715,SECaaS
4,SECaaS,8,verifier,result_call,0.0329987945,0.033597511499999996,SECaaS
4,SECaaS,8,verifier,signatures_fetch,0.0094650305,0.0095224715,SECaaS
4,SECaaS,8,verifier,total_lifecycle,0.06653877550000001,0.066305695,SECaaS
4,SECaaS,8,verifier,verify_compute,7.697000000000001e-06,8.0375e-06,SECaaS
4,SECaaS,9,oracle,db_lookup,0.0008174055,0.0008555575,SECaaS
4,SECaaS,9,oracle,prover_addr_fetch,0.009484049500000001,0.0098874675,SECaaS
4,SECaaS,9,oracle,reaction_time,0.108155256,0.10671257775000001,SECaaS
4,SECaaS,9,verifier,reaction_time,0.108155256,0.10671257775000001,SECaaS
4,SECaaS,9,verifier,result_call,0.031575285999999994,0.03143053625,SECaaS
4,SECaaS,9,verifier,signatures_fetch,0.0095036235,0.01012038925,SECaaS
4,SECaaS,9,verifier,total_lifecycle,0.060784613,0.062072919750000004,SECaaS
4,SECaaS,9,verifier,verify_compute,6.679499999999999e-06,6.62525e-06,SECaaS
4,SECaaS,10,oracle,db_lookup,0.0008139110000000001,0.0008244822500000001,SECaaS
4,SECaaS,10,oracle,prover_addr_fetch,0.0114102235,0.0118094395,SECaaS
4,SECaaS,10,oracle,reaction_time,0.1217487245,0.1227048715,SECaaS
4,SECaaS,10,verifier,reaction_time,0.1217487245,0.1227048715,SECaaS
4,SECaaS,10,verifier,result_call,0.0353212245,0.03593256875,SECaaS
4,SECaaS,10,verifier,signatures_fetch,0.0103826115,0.0103382615,SECaaS
4,SECaaS,10,verifier,total_lifecycle,0.06968797500000001,0.06931328425,SECaaS
4,SECaaS,10,verifier,verify_compute,7.5035e-06,7.3432499999999995e-06,SECaaS
4,SECaaS,11,oracle,db_lookup,0.0009073225,0.0009114144999999999,SECaaS
4,SECaaS,11,oracle,prover_addr_fetch,0.009492829,0.010093169249999999,SECaaS
4,SECaaS,11,oracle,reaction_time,0.106138327,0.10483824975,SECaaS
4,SECaaS,11,verifier,reaction_time,0.106138327,0.10483824975,SECaaS
4,SECaaS,11,verifier,result_call,0.031103285,0.03109283925,SECaaS
4,SECaaS,11,verifier,signatures_fetch,0.009263272,0.009259218,SECaaS
4,SECaaS,11,verifier,total_lifecycle,0.059922566499999996,0.0608949885,SECaaS
4,SECaaS,11,verifier,verify_compute,6.797e-06,6.76325e-06,SECaaS
4,SECaaS,12,oracle,db_lookup,0.0008370225,0.00085539375,SECaaS
4,SECaaS,12,oracle,prover_addr_fetch,0.011965482,0.0117503975,SECaaS
4,SECaaS,12,oracle,reaction_time,0.11463648400000001,0.112450137,SECaaS
4,SECaaS,12,verifier,reaction_time,0.11463648400000001,0.112450137,SECaaS
4,SECaaS,12,verifier,result_call,0.0324309625,0.032754372000000004,SECaaS
4,SECaaS,12,verifier,signatures_fetch,0.0097436605,0.010044155999999999,SECaaS
4,SECaaS,12,verifier,total_lifecycle,0.0640710705,0.06497983425,SECaaS
4,SECaaS,12,verifier,verify_compute,7.4559999999999994e-06,7.5082500000000005e-06,SECaaS
4,SECaaS,13,oracle,db_lookup,0.0009970595,0.0010038555,SECaaS
4,SECaaS,13,oracle,prover_addr_fetch,0.0113768635,0.01170057,SECaaS
4,SECaaS,13,oracle,reaction_time,0.114486086,0.11850599875000001,SECaaS
4,SECaaS,13,verifier,reaction_time,0.114486086,0.11850599875000001,SECaaS
4,SECaaS,13,verifier,result_call,0.033798005500000006,0.03672363525,SECaaS
4,SECaaS,13,verifier,signatures_fetch,0.010003221,0.010706796000000001,SECaaS
4,SECaaS,13,verifier,total_lifecycle,0.06802313799999998,0.0712418445,SECaaS
4,SECaaS,13,verifier,verify_compute,7.395999999999999e-06,7.92575e-06,SECaaS
4,SECaaS,14,oracle,db_lookup,0.000777041,0.00080375425,SECaaS
4,SECaaS,14,oracle,prover_addr_fetch,0.0105737295,0.010693181749999999,SECaaS
