n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,duration_s
16,20000.0,1.0,,Robot11,2,prover,total_lifecycle,4.274782008
16,20000.0,1.0,,Robot11,2,prover,total_lifecycle,5.769723472
16,20000.0,1.0,,Robot11,2,prover,total_lifecycle,5.22965596
16,20000.0,1.0,,Robot11,2,prover,total_lifecycle,4.713095312
16,20000.0,1.0,,Robot11,2,prover,total_lifecycle,4.212361752
16,20000.0,1.0,,Robot11,2,verifier,reaction_time,0.005052066
16,20000.0,1.0,,Robot11,2,verifier,reaction_time,0.008565008
16,20000.0,1.0,,Robot11,2,verifier,reaction_time,0.006996741
16,20000.0,1.0,,Robot11,2,verifier,reaction_time,0.012220534
16,20000.0,1.0,,Robot11,2,verifier,reaction_time,0.007522447
16,20000.0,1.0,,Robot11,2,verifier,reaction_time,0.029004441
16,20000.0,1.0,,Robot11,2,verifier,signatures_fetch,0.002228481
16,20000.0,1.0,,Robot11,2,verifier,signatures_fetch,0.0046041369999999995
16,20000.0,1.0,,Robot11,2,verifier,signatures_fetch,0.006149041
16,20000.0,1.0,,Robot11,2,verifier,signatures_fetch,0.0023727939999999997
16,20000.0,1.0,,Robot11,2,verifier,signatures_fetch,0.002755502
16,20000.0,1.0,,Robot11,2,verifier,signatures_fetch,0.006392877
16,20000.0,1.0,,Robot11,2,verifier,verify_compute,2.0699999999999997e-06
16,20000.0,1.0,,Robot11,2,verifier,verify_compute,7.420000000000001e-07
16,20000.0,1.0,,Robot11,2,verifier,verify_compute,6.92e-07
